Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
32,0.8387,0.8125,6,I
92,0.8352,0.8261,7,I
26,0.84,0.8077,6,I
5,1,0.8,1,I
4,1,0.75,4,I
9,1,0.8889,4,I
94,0.8387,0.8298,7,I
32,1,0.9688,8,I
89,0.9773,0.9663,8,I
98,0.8041,0.7959,8,I
88,0.7816,0.7727,8,I
45,0.8182,0.8,7,I
41,0.8,0.7805,7,I
41,0.8,0.7805,7,I
48,0.7872,0.7708,9,I
74,0.8219,0.8108,8,I
94,0.8387,0.8298,8,I
15,1,0.9333,8,I
94,0.7742,0.7553,8,I
4,1,0.75,6,I
31,0.8667,0.8387,8,I
11,1,0.9091,4,I
11,1,0.9091,6,H
98,0.866,0.8571,9,I
55,0.8519,0.8364,9,I
35,0.8529,0.8286,9,I
8,1,0.875,1,I
85,0.7976,0.7882,10,I
58,0.9474,0.931,7,I
61,1,0.9836,4,I
81,0.8,0.7901,10,I
59,0.8966,0.8814,10,I
52,0.8235,0.8077,10,I
75,0.973,0.96,8,I
16,0.6,0.5,1,I
93,0.8152,0.8065,1,I
1,1,0,1,H
65,0.9688,0.9538,8,I
60,0.8136,0.8,9,I
42,0.9756,0.9524,8,I
69,0.8824,0.8696,10,I
18,0.5294,0.3889,1,I
75,0.7838,0.76,1,I
36,0.6857,0.6111,1,I
36,0.6571,0.6389,1,I
72,0.7887,0.7778,1,I
75,0.7973,0.76,1,I
85,0.7976,0.7882,1,I
79,0.6026,0.5063,2,I
7,0.1667,0.1429,2,I
64,0.4444,0.2969,2,I
12,0.4545,0.25,2,I
7,0.3333,0.1429,2,I
31,0.4333,0.2258,2,I
86,0.6235,0.407,2,I
78,0.5455,0.2564,3,I
19,0.5,0.2632,3,I
22,0.3333,0.0909,3,I
42,0.4878,0.2857,3,I
3,0.5,0.3333,2,I
62,0.5902,0.5,2,I
97,0.5729,0.4124,2,I
55,0.537,0.0909,4,I
38,0.4054,0.2632,3,I
60,0.4746,0.2333,3,I
43,0.4762,0.1163,3,I
59,0.4138,0.2373,3,I
46,0.5556,0.2609,3,I
14,0.2308,0.1429,3,I
60,0.4746,0.2167,4,I
69,0.4559,0.1014,4,I
76,0.5067,0.3026,4,I
1,1,0,1,H
73,0.4722,0.1096,4,I
27,0.4231,0.2222,4,I
17,0.4375,0.1176,4,I
93,0.4783,0.2903,5,I
66,0.4,0.1818,5,I
78,0.4805,0.1667,5,I
40,0.4359,0.15,5,I
88,0.3678,0.2159,5,I
9,0.375,0.1111,3,I
75,0.5676,0.2267,4,I
76,0.4667,0.0921,6,I
97,0.4375,0.2474,6,I
11,0.6,0.2727,5,I
48,0.5745,0.25,5,I
85,0.3929,0.0471,5,I
41,0.4,0.2439,5,I
85,0.5476,0.2471,5,I
96,0.5158,0.3021,6,I
38,0.4595,0.2895,6,I
95,0.4787,0.2105,6,I
6,0.6,0.3333,5,I
91,0.3556,0.0659,6,I
17,0.4375,0.1176,6,I
79,0.5513,0.3038,6,I
66,0.4,0.0758,7,Q
12,0.5455,0.25,7,I
60,0.4068,0.1833,7,I
15,0.2143,0.1333,7,I
70,0.4493,0.1714,7,I
46,0.3778,0.1087,7,I
30,0.4828,0.2667,6,I
81,0.4625,0.2716,8,I
55,0.3333,0.0364,8,I
19,0.4444,0.0526,8,I
75,0.2973,0.12,7,I
84,0.4096,0.0833,7,I
